Original Interest Rate_mean,Original Interest Rate_q25,Original Interest Rate_q75,Original Interest Rate_min,Original Interest Rate_max,Current Interest Rate_mean,Current Interest Rate_q25,Current Interest Rate_q75,Current Interest Rate_min,Current Interest Rate_max,Original UPB_mean,Original UPB_q25,Original UPB_q75,Original UPB_min,Original UPB_max,Debt-To-Income (DTI)_mean,Debt-To-Income (DTI)_q25,Debt-To-Income (DTI)_q75,Debt-To-Income (DTI)_min,Debt-To-Income (DTI)_max,Borrower Credit Score at Origination_mean,Borrower Credit Score at Origination_q25,Borrower Credit Score at Origination_q75,Borrower Credit Score at Origination_min,Borrower Credit Score at Origination_max,Co-Borrower Credit Score at Origination_mean,Co-Borrower Credit Score at Origination_q25,Co-Borrower Credit Score at Origination_q75,Co-Borrower Credit Score at Origination_min,Co-Borrower Credit Score at Origination_max,Loan Age_mean,Loan Age_q25,Loan Age_q75,Loan Age_min,Loan Age_max,Original Loan to Value Ratio (LTV)_mean,Original Loan to Value Ratio (LTV)_q25,Original Loan to Value Ratio (LTV)_q75,Original Loan to Value Ratio (LTV)_min,Original Loan to Value Ratio (LTV)_max,Original Combined Loan to Value Ratio (CLTV)_mean,Original Combined Loan to Value Ratio (CLTV)_q25,Original Combined Loan to Value Ratio (CLTV)_q75,Original Combined Loan to Value Ratio (CLTV)_min,Original Combined Loan to Value Ratio (CLTV)_max,Original Loan Term_mean,Original Loan Term_q25,Original Loan Term_q75,Original Loan Term_min,Original Loan Term_max,Mortgage Insurance Percentage_mean,Mortgage Insurance Percentage_q25,Mortgage Insurance Percentage_q75,Mortgage Insurance Percentage_min,Mortgage Insurance Percentage_max,Number of Borrowers_mean,Number of Borrowers_q25,Number of Borrowers_q75,Number of Borrowers_min,Number of Borrowers_max,Occupancy Status_P_rate,Occupancy Status_I_rate,Occupancy Status_S_rate,Property Type_SF_rate,Property Type_CO_rate,Property Type_CP_rate,Property Type_PU_rate,Property Type_MH_rate,Loan Purpose_P_rate,Loan Purpose_C_rate,Loan Purpose_R_rate,Amortization Type_FRM_rate,Amortization Type_ARM_rate,Interest Only Loan Indicator_Y_rate,Interest Only Loan Indicator_N_rate,Prepayment Penalty Indicator_Y_rate,Prepayment Penalty Indicator_N_rate,First Time Home Buyer Indicator_Y_rate,First Time Home Buyer Indicator_N_rate,loan_count,total_current_upb,total_original_upb,total_sched_principal,total_unsched_principal,total_principal,lp_empty_ratio,lp_all00_ratio,lp_end00_ratio,lp_end_not00_ratio,lp_has_02plus_ratio,lp_nonzero_count_mean,P_0_30,P_31_60,P_61_90,P_90plus,Pool,Month,Deal_Type,Deal_Number,Group,Deal_Year
3.8862495,3.625,4.0,2.75,6.375,3.8604066,3.625,4.0,2.75,6.125,243052.05,141000.0,329000.0,9000.0,1100000.0,31.6097,24.0,40.0,1.0,51.0,768.2203,748.0,797.0,620.0,837.0,773.9994,758.0,800.0,620.0,834.0,110.98041,110.0,112.0,109.0,115.0,75.24939,72.0,80.0,51.0,86.0,76.005646,73.0,80.0,51.0,97.0,359.9047,360.0,360.0,304.0,360.0,25.0,25.0,25.0,25.0,25.0,1.561026,1.0,2.0,1.0,8.0,0.81750685,0.123983346,0.05850979,0.64157,0.09903429,0.0057676975,0.25076637,0.0028616993,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.12931691,0.8706831,112870.0,5438308400.0,27433286000.0,17384230.0,138926370.0,156374910.0,0.7020289,0.27886063,0.29578274,0.0021883582,0.006910605,0.06798972,1.0,0.0,0.0,0.0,CAS_2013-C01_G1_012022,2022-01,C,01,G1,2013
3.8862495,3.625,4.0,2.75,6.375,3.855684,3.625,4.0,2.75,6.125,243052.05,141000.0,329000.0,9000.0,1100000.0,31.6097,24.0,40.0,1.0,51.0,768.2203,748.0,797.0,620.0,837.0,773.9994,758.0,800.0,620.0,834.0,122.97334,122.0,124.0,121.0,127.0,75.24939,72.0,80.0,51.0,86.0,76.005646,73.0,80.0,51.0,97.0,359.9047,360.0,360.0,304.0,360.0,25.0,25.0,25.0,25.0,25.0,1.561026,1.0,2.0,1.0,8.0,0.81750685,0.123983346,0.05850979,0.64157,0.09903429,0.0057676975,0.25076637,0.0028616993,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.12931691,0.8706831,112870.0,4565650000.0,27433286000.0,15273026.0,24652080.0,40020164.0,0.738788,0.2489767,0.25946665,0.0017453708,0.0023035351,0.038850006,1.0,0.0,0.0,0.0,CAS_2013-C01_G1_012023,2023-01,C,01,G1,2013
3.8862495,3.625,4.0,2.75,6.375,3.8597956,3.625,4.0,2.75,6.125,243052.05,141000.0,329000.0,9000.0,1100000.0,31.6097,24.0,40.0,1.0,51.0,768.2203,748.0,797.0,620.0,837.0,773.9994,758.0,800.0,620.0,834.0,111.97958,111.0,113.0,110.0,116.0,75.24939,72.0,80.0,51.0,86.0,76.005646,73.0,80.0,51.0,97.0,359.9047,360.0,360.0,304.0,360.0,25.0,25.0,25.0,25.0,25.0,1.561026,1.0,2.0,1.0,8.0,0.81750685,0.123983346,0.05850979,0.64157,0.09903429,0.0057676975,0.25076637,0.0028616993,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.12931691,0.8706831,112870.0,5299275000.0,27433286000.0,17850310.0,120908930.0,139033810.0,0.707894,0.273341,0.29001507,0.0020909011,0.006662532,0.06613804,1.0,0.0,0.0,0.0,CAS_2013-C01_G1_022022,2022-02,C,01,G1,2013
3.8862495,3.625,4.0,2.75,6.375,3.8555613,3.625,4.0,2.75,6.125,243052.05,141000.0,329000.0,9000.0,1100000.0,31.6097,24.0,40.0,1.0,51.0,768.2203,748.0,797.0,620.0,837.0,773.9994,758.0,800.0,620.0,834.0,123.97301,123.0,125.0,122.0,128.0,75.24939,72.0,80.0,51.0,86.0,76.005646,73.0,80.0,51.0,97.0,359.9047,360.0,360.0,304.0,360.0,25.0,25.0,25.0,25.0,25.0,1.561026,1.0,2.0,1.0,8.0,0.81750685,0.123983346,0.05850979,0.64157,0.09903429,0.0057676975,0.25076637,0.0028616993,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.12931691,0.8706831,112870.0,4529678000.0,27433286000.0,15945127.0,19952388.0,35971890.0,0.7400372,0.24788696,0.25816426,0.0017985293,0.0021529193,0.03826526,1.0,0.0,0.0,0.0,CAS_2013-C01_G1_022023,2023-02,C,01,G1,2013
3.8862495,3.625,4.0,2.75,6.375,3.859657,3.625,4.0,2.75,6.125,243052.05,141000.0,329000.0,9000.0,1100000.0,31.6097,24.0,40.0,1.0,51.0,768.2203,748.0,797.0,620.0,837.0,773.9994,758.0,800.0,620.0,834.0,112.9795,112.0,114.0,111.0,117.0,75.24939,72.0,80.0,51.0,86.0,76.005646,73.0,80.0,51.0,97.0,359.9047,360.0,360.0,304.0,360.0,25.0,25.0,25.0,25.0,25.0,1.561026,1.0,2.0,1.0,8.0,0.81750685,0.123983346,0.05850979,0.64157,0.09903429,0.0057676975,0.25076637,0.0028616993,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.12931691,0.8706831,112870.0,5186188000.0,27433286000.0,15775259.0,97205260.0,113086936.0,0.71259856,0.26876938,0.2853194,0.0020820412,0.006565075,0.06574821,1.0,0.0,0.0,0.0,CAS_2013-C01_G1_032022,2022-03,C,01,G1,2013
3.8862495,3.625,4.0,2.75,6.375,3.8557205,3.625,4.0,2.75,6.125,243052.05,141000.0,329000.0,9000.0,1100000.0,31.6097,24.0,40.0,1.0,51.0,768.2203,748.0,797.0,620.0,837.0,773.9994,758.0,800.0,620.0,834.0,124.97295,124.0,126.0,123.0,129.0,75.24939,72.0,80.0,51.0,86.0,76.005646,73.0,80.0,51.0,97.0,359.9047,360.0,360.0,304.0,360.0,25.0,25.0,25.0,25.0,25.0,1.561026,1.0,2.0,1.0,8.0,0.81750685,0.123983346,0.05850979,0.64157,0.09903429,0.0057676975,0.25076637,0.0028616993,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.12931691,0.8706831,112870.0,4497283000.0,27433286000.0,14788581.0,17483322.0,32394858.0,0.7412333,0.24700098,0.2571631,0.0016036148,0.002064322,0.03722867,1.0,0.0,0.0,0.0,CAS_2013-C01_G1_032023,2023-03,C,01,G1,2013
3.8862495,3.625,4.0,2.75,6.375,3.8587084,3.625,4.0,2.75,6.125,243052.05,141000.0,329000.0,9000.0,1100000.0,31.6097,24.0,40.0,1.0,51.0,768.2203,748.0,797.0,620.0,837.0,773.9994,758.0,800.0,620.0,834.0,113.97703,113.0,115.0,112.0,118.0,75.24939,72.0,80.0,51.0,86.0,76.005646,73.0,80.0,51.0,97.0,359.9047,360.0,360.0,304.0,360.0,25.0,25.0,25.0,25.0,25.0,1.561026,1.0,2.0,1.0,8.0,0.81750685,0.123983346,0.05850979,0.64157,0.09903429,0.0057676975,0.25076637,0.0028616993,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.12931691,0.8706831,112870.0,5093810000.0,27433286000.0,15875031.0,76269530.0,92377390.0,0.71655,0.26498628,0.28120846,0.0022415167,0.0063967397,0.06462302,1.0,0.0,0.0,0.0,CAS_2013-C01_G1_042022,2022-04,C,01,G1,2013
3.8862495,3.625,4.0,2.75,6.375,3.8555021,3.625,4.0,2.75,6.125,243052.05,141000.0,329000.0,9000.0,1100000.0,31.6097,24.0,40.0,1.0,51.0,768.2203,748.0,797.0,620.0,837.0,773.9994,758.0,800.0,620.0,834.0,125.97271,125.0,127.0,124.0,130.0,75.24939,72.0,80.0,51.0,86.0,76.005646,73.0,80.0,51.0,97.0,359.9047,360.0,360.0,304.0,360.0,25.0,25.0,25.0,25.0,25.0,1.561026,1.0,2.0,1.0,8.0,0.81750685,0.123983346,0.05850979,0.64157,0.09903429,0.0057676975,0.25076637,0.0028616993,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.12931691,0.8706831,112870.0,4466444000.0,27433286000.0,14821214.0,15957078.0,30839196.0,0.7422522,0.24646053,0.2560025,0.0017453708,0.0018871268,0.03615664,1.0,0.0,0.0,0.0,CAS_2013-C01_G1_042023,2023-04,C,01,G1,2013
3.8862495,3.625,4.0,2.75,6.375,3.857819,3.625,4.0,2.75,6.125,243052.05,141000.0,329000.0,9000.0,1100000.0,31.6097,24.0,40.0,1.0,51.0,768.2203,748.0,797.0,620.0,837.0,773.9994,758.0,800.0,620.0,834.0,114.97693,114.0,116.0,113.0,119.0,75.24939,72.0,80.0,51.0,86.0,76.005646,73.0,80.0,51.0,97.0,359.9047,360.0,360.0,304.0,360.0,25.0,25.0,25.0,25.0,25.0,1.561026,1.0,2.0,1.0,8.0,0.81750685,0.123983346,0.05850979,0.64157,0.09903429,0.0057676975,0.25076637,0.0028616993,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.12931691,0.8706831,112870.0,5004840400.0,27433286000.0,16710645.0,72057020.0,88969576.0,0.72041285,0.26131833,0.27785948,0.0017276512,0.0062904228,0.06348897,1.0,0.0,0.0,0.0,CAS_2013-C01_G1_052022,2022-05,C,01,G1,2013
3.8862495,3.625,4.0,2.75,6.375,3.855144,3.625,4.0,2.75,6.125,243052.05,141000.0,329000.0,9000.0,1100000.0,31.6097,24.0,40.0,1.0,51.0,768.2203,748.0,797.0,620.0,837.0,773.9994,758.0,800.0,620.0,834.0,126.97212,126.0,128.0,125.0,131.0,75.24939,72.0,80.0,51.0,86.0,76.005646,73.0,80.0,51.0,97.0,359.9047,360.0,360.0,304.0,360.0,25.0,25.0,25.0,25.0,25.0,1.561026,1.0,2.0,1.0,8.0,0.81750685,0.123983346,0.05850979,0.64157,0.09903429,0.0057676975,0.25076637,0.0028616993,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.12931691,0.8706831,112870.0,4422118400.0,27433286000.0,16375238.0,27900418.0,44325388.0,0.7438292,0.2450164,0.2548773,0.0012935235,0.0019225657,0.035740234,1.0,0.0,0.0,0.0,CAS_2013-C01_G1_052023,2023-05,C,01,G1,2013
